election_type,province,constituency,amphoe,tambon,unit,turnout_rate,spoiled_rate,abstain_rate,ocr_vote_diff_abs,outlier_score
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหนองเหล่า,5,0.5989583333333334,0.013043478260869565,0.021739130434782608,0,1.6093750449521433
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหนองเหล่า,8,0.7833333333333333,0.0,0.0,419,14.035761134906426
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหนองเหล่า,9,,,,13,0.08831688253657467
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหัวดอน,1,,,,0,0.27764619947435665
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหัวดอน,10,0.65625,0.02756892230576441,0.05012531328320802,0,0.4928876127521916
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหัวดอน,11,,,,0,0.27764619947435665
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหัวดอน,2,0.6706948640483383,0.02702702702702703,0.02252252252252252,6,0.7046334229513584
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหัวดอน,3,0.5613682092555332,0.010752688172043012,0.0035842293906810036,0,2.1993906979183855
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหัวดอน,6,0.5143312101910829,0.034055727554179564,0.015479876160990712,51,2.6001573162321603
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหัวดอน,7,0.5407407407407407,0.0547945205479452,0.04452054794520548,4,1.648898693040936
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลแดงหม้อ,1,,,,0,0.27764619947435665
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลแดงหม้อ,3,0.06,0.16666666666666666,0.08333333333333333,5,8.828778059943188
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลแดงหม้อ,4,0.2695035460992908,0.02631578947368421,0.013157894736842105,0,3.481008142893396
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลแดงหม้อ,6,0.6125,0.015306122448979591,0.0,0,1.775337698765307
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลโนนรัง,1,0.4241192411924119,0.009584664536741214,0.003194888178913738,0,3.141221661946804
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลโนนรัง,2,0.7056603773584905,0.008021390374331552,0.040106951871657755,0,1.4347715884398042
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลโนนรัง,3,1.0,0.012987012987012988,0.01948051948051948,0,3.5169541763193433
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลโนนรัง,4,0.5863247863247864,0.02040816326530612,0.011661807580174927,0,1.6123512020801656
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลโนนรัง,6,0.75,0.011111111111111112,0.022222222222222223,0,1.8963935517166932
constituency,อุบลราชธานี,2,เขต 2 อ.เมืองฯ,ตำบลหนองขอน,1,0.6834862385321101,0.026845637583892617,0.026845637583892617,0,0.8982969714422635
constituency,อุบลราชธานี,2,เขต 2 อ.เมืองฯ,ตำบลหนองขอน,10,0.76171875,0.010256410256410256,0.07435897435897436,2,2.0279022579828783
constituency,อุบลราชธานี,2,เขต 2 อ.เมืองฯ,ตำบลหนองขอน,11,0.7194513715710723,0.038128249566724434,0.058925476603119586,0,1.0784029302582518
constituency,อุบลราชธานี,2,เขต 2 อ.เมืองฯ,ตำบลหนองขอน,12,0.7225609756097561,0.02531645569620253,0.08016877637130802,0,1.4427674658314105
constituency,อุบลราชธานี,2,เขต 2 อ.เมืองฯ,ตำบลหนองขอน,13,0.8589743589743589,0.020895522388059702,0.005970149253731343,0,2.5473676993885173
constituency,อุบลราชธานี,2,เขต 2 อ.เมืองฯ,ตำบลหนองขอน,14,0.79,0.02531645569620253,0.0759493670886076,0,1.8215058024775475
constituency,อุบลราชธานี,2,เขต 2 อ.เมืองฯ,ตำบลหนองขอน,15,1.0,0.023715415019762844,0.09486166007905138,0,3.5310711988891796
constituency,อุบลราชธานี,2,เขต 2 อ.เมืองฯ,ตำบลหนองขอน,16,,,,10,0.0038638636109751285
constituency,อุบลราชธานี,2,เขต 2 อ.เมืองฯ,ตำบลหนองขอน,4,0.8333333333333334,0.017142857142857144,0.10857142857142857,0,2.8501510227928595
constituency,อุบลราชธานี,2,เขต 2 อ.เมืองฯ,ตำบลหนองขอน,5,0.777542372881356,0.027247956403269755,0.0653950953678474,24,1.6416111369260047
constituency,อุบลราชธานี,2,เขต 2 อ.เมืองฯ,ตำบลหนองขอน,6,0.740506329113924,0.1396011396011396,0.05698005698005698,1,4.338346433446664
constituency,อุบลราชธานี,2,เขต 2 อ.เมืองฯ,ตำบลหนองขอน,9,0.7134020618556701,0.03468208092485549,0.046242774566473986,0,0.7408364212605288
constituency,อุบลราชธานี,2,เขตไร่น้อย,เขตไร่น้อย,1,0.7318116975748931,0.025341130604288498,0.07602339181286549,0,1.4405284790792452
constituency,อุบลราชธานี,2,เขตไร่น้อย,เขตไร่น้อย,10,0.6332665330661322,0.04746835443037975,0.08227848101265822,0,1.4624560530430182
constituency,อุบลราชธานี,2,เขตไร่น้อย,เขตไร่น้อย,11,0.7525150905432596,0.07754010695187166,0.10962566844919786,0,3.2892409052962535
constituency,อุบลราชธานี,2,เขตไร่น้อย,เขตไร่น้อย,12,,,,1,0.2494951931658235
constituency,อุบลราชธานี,2,เขตไร่น้อย,เขตไร่น้อย,13,0.7507598784194529,0.024291497975708502,0.03643724696356275,21,1.311393201148685
constituency,อุบลราชธานี,2,เขตไร่น้อย,เขตไร่น้อย,14,,,,0,0.27764619947435665
constituency,อุบลราชธานี,2,เขตไร่น้อย,เขตไร่น้อย,16,0.7966417910447762,0.03278688524590164,0.0351288056206089,0,1.3704958791328503
constituency,อุบลราชธานี,2,เขตไร่น้อย,เขตไร่น้อย,17,0.7537037037037037,0.02702702702702703,0.02702702702702703,0,1.3500381718095227
constituency,อุบลราชธานี,2,เขตไร่น้อย,เขตไร่น้อย,18,0.7441860465116279,0.03365384615384615,0.014423076923076924,74,2.8919097060640153
constituency,อุบลราชธานี,2,เขตไร่น้อย,เขตไร่น้อย,19,0.7333333333333333,0.05844155844155844,0.03896103896103896,55,2.6950355720807506
constituency,อุบลราชธานี,2,เขตไร่น้อย,เขตไร่น้อย,2,0.6570605187319885,0.10307017543859649,0.11842105263157894,0,3.595335026023112
constituency,อุบลราชธานี,2,เขตไร่น้อย,เขตไร่น้อย,20,0.7046843177189409,0.05202312138728324,0.046242774566473986,0,1.2270220755230383
