province,constituency,amphoe,tambon,unit,form_type,eligible_voters,turnout,ballots_allocated,ballots_used,valid_ballots,spoiled_ballots,abstain_ballots,ballots_remaining,val_total_votes_in_table,val_effective_vote_sum,val_valid_ballots,val_vote_diff,winner_party,winner_votes,election_type,polling_station_id,total_party_votes_at_station,winner_share,rank,runner_up_party,runner_up_votes,runner_up_share,margin_votes,margin_share
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,4,party_list,447.0,183.0,440.0,183.0,175.0,7.0,1.0,257.0,160,160,175,-15,กล้าธรรม,40,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลกลางใหญ่|4,160,0.25,1.0,เพื่อไทย,28,0.175,12,0.07500000000000001
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,5,party_list,375.0,133.0,360.0,370.0,245.0,11.0,,11.0,248,248,245,3,เพื่อไทย,49,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลกลางใหญ่|5,248,0.1975806451612903,1.0,ภูมิใจไทย,43,0.17338709677419356,6,0.024193548387096753
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,6,party_list,306.0,196.0,300.0,196.0,185.0,8.0,3.0,104.0,185,185,185,0,ประชาชน,42,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลกลางใหญ่|6,185,0.22702702702702704,1.0,กล้าธรรม,40,0.21621621621621623,2,0.010810810810810811
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,7,party_list,284.0,142.0,280.0,142.0,134.0,5.0,3.0,138.0,117,117,134,-17,เพื่อไทย,28,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลกลางใหญ่|7,117,0.23931623931623933,1.0,ภูมิใจไทย,22,0.18803418803418803,6,0.051282051282051294
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลก่อเอ้,1,party_list,530.0,374.0,520.0,374.0,346.0,16.0,12.0,146.0,340,340,346,-6,ประชาชน,69,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลก่อเอ้|1,340,0.20294117647058824,1.0,ไทรวมพลัง,63,0.18529411764705883,6,0.017647058823529405
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลก่อเอ้,10,party_list,374.0,263.0,200.0,243.0,223.0,14.0,6.0,59.0,310,310,223,87,พลังไทยรักชาติ,203,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลก่อเอ้|10,310,0.6548387096774193,1.0,กล้าธรรม,36,0.11612903225806452,167,0.5387096774193548
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลก่อเอ้,11,party_list,929.0,621.0,920.0,621.0,593.0,16.0,12.0,299.0,674,674,593,81,ไทรวมพลัง,193,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลก่อเอ้|11,672,0.28720238095238093,1.0,เพื่อไทย,145,0.21577380952380953,48,0.0714285714285714
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลก่อเอ้,8,party_list,465.0,,460.0,322.0,296.0,16.0,10.0,138.0,165,165,296,-131,กล้าธรรม,56,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลก่อเอ้|8,165,0.3393939393939394,1.0,เป็นธรรม,28,0.1696969696969697,28,0.1696969696969697
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลก่อเอ้,9,party_list,650.0,500.0,640.0,500.0,455.0,28.0,17.0,140.0,354,354,455,-101,ภูมิใจไทย,93,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลก่อเอ้|9,354,0.2627118644067797,1.0,ประชาชน,63,0.17796610169491525,30,0.08474576271186443
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,1,party_list,410.0,271.0,400.0,291.0,250.0,10.0,11.0,129.0,210,210,250,-40,เพื่อไทย,54,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลค้อทอง|1,210,0.2571428571428571,1.0,รวมใจไทย,11,0.05238095238095238,43,0.20476190476190473
