province,constituency,amphoe,tambon,party,const_votes,party_list_votes,const_total,party_list_total,const_share,party_list_share,share_gap,abs_share_gap
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,เพื่อไทย,177.0,180,3605.0,988,0.049098474341192785,0.18218623481781376,-0.13308776047662096,0.13308776047662096
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,เศรษฐกิจ,38.0,48,3605.0,988,0.010540915395284327,0.048582995951417005,-0.038042080556132674,0.038042080556132674
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,เสรีรวมไทย,0.0,8,3605.0,988,0.0,0.008097165991902834,-0.008097165991902834,0.008097165991902834
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,แผ่นดินธรรม,0.0,1,3605.0,988,0.0,0.0010121457489878543,-0.0010121457489878543,0.0010121457489878543
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,แรงงานสร้างชาติ,0.0,5,3605.0,988,0.0,0.005060728744939271,-0.005060728744939271,0.005060728744939271
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,โอกาสใหม่,0.0,0,3605.0,988,0.0,0.0,0.0,0.0
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,ใหม่,0.0,8,3605.0,988,0.0,0.008097165991902834,-0.008097165991902834,0.008097165991902834
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,ไทยก้าวหน้า,0.0,3,3605.0,988,0.0,0.003036437246963563,-0.003036437246963563,0.003036437246963563
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,ไทยก้าวใหม่,12.0,2,3605.0,988,0.00332871012482663,0.0020242914979757085,0.0013044186268509213,0.0013044186268509213
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,ไทยชนะ,0.0,1,3605.0,988,0.0,0.0010121457489878543,-0.0010121457489878543,0.0010121457489878543
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,ไทยทรัพย์ทวี,0.0,35,3605.0,988,0.0,0.0354251012145749,-0.0354251012145749,0.0354251012145749
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,ไทยธรรม,0.0,1,3605.0,988,0.0,0.0010121457489878543,-0.0010121457489878543,0.0010121457489878543
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,ไทยพร้อม,0.0,0,3605.0,988,0.0,0.0,0.0,0.0
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,ไทยพิทักษ์ธรรม,0.0,1,3605.0,988,0.0,0.0010121457489878543,-0.0010121457489878543,0.0010121457489878543
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,ไทยภักดี,0.0,3,3605.0,988,0.0,0.003036437246963563,-0.003036437246963563,0.003036437246963563
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,ไทยรวมไทย,0.0,0,3605.0,988,0.0,0.0,0.0,0.0
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,ไทยสร้างไทย,0.0,5,3605.0,988,0.0,0.005060728744939271,-0.005060728744939271,0.005060728744939271
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,ไทรวมพลัง,1749.0,337,3605.0,988,0.4851595006934813,0.3410931174089069,0.14406638328457438,0.14406638328457438
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,กรีน,0.0,0,2247.0,1349,0.0,0.0,0.0,0.0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,กล้าธรรม,766.0,195,2247.0,1349,0.3408989764129951,0.14455151964418086,0.19634745676881424,0.19634745676881424
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ก้าวอิสระ,0.0,1,2247.0,1349,0.0,0.0007412898443291327,-0.0007412898443291327,0.0007412898443291327
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ครูไทยเพื่อประชาชน,0.0,1,2247.0,1349,0.0,0.0007412898443291327,-0.0007412898443291327,0.0007412898443291327
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,คลองไทย,0.0,10,2247.0,1349,0.0,0.007412898443291327,-0.007412898443291327,0.007412898443291327
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ความหวังใหม่,0.0,0,2247.0,1349,0.0,0.0,0.0,0.0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ทางเลือกใหม่,0.0,7,2247.0,1349,0.0,0.005189028910303929,-0.005189028910303929,0.005189028910303929
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ท้องที่ไทย,0.0,2,2247.0,1349,0.0,0.0014825796886582653,-0.0014825796886582653,0.0014825796886582653
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ประชากรไทย,0.0,0,2247.0,1349,0.0,0.0,0.0,0.0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ประชาชน,312.0,133,2247.0,1349,0.13885180240320427,0.09859154929577464,0.04026025310742963,0.04026025310742963
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ประชาชาติ,0.0,1,2247.0,1349,0.0,0.0007412898443291327,-0.0007412898443291327,0.0007412898443291327
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ประชาธิปัตย์,14.0,23,2247.0,1349,0.006230529595015576,0.01704966641957005,-0.010819136824554473,0.010819136824554473
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ประชาธิปไตยใหม่,13.0,6,2247.0,1349,0.005785491766800178,0.004447739065974796,0.0013377527008253823,0.0013377527008253823
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ประชาอาสาชาติ,0.0,2,2247.0,1349,0.0,0.0014825796886582653,-0.0014825796886582653,0.0014825796886582653
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ประชาไทย,0.0,1,2247.0,1349,0.0,0.0007412898443291327,-0.0007412898443291327,0.0007412898443291327
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ปวงชนไทย,0.0,1,2247.0,1349,0.0,0.0007412898443291327,-0.0007412898443291327,0.0007412898443291327
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,พร้อม,0.0,0,2247.0,1349,0.0,0.0,0.0,0.0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,พลวัต,0.0,1,2247.0,1349,0.0,0.0007412898443291327,-0.0007412898443291327,0.0007412898443291327
