chars,error,file,pages,status,total_seconds
9211,,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,,SKIP,0.0
14620,,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,,SKIP,0.0
8058,,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,,SKIP,0.0
14149,,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,,SKIP,0.0
14471,,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,,SKIP,0.0
17240,,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,,SKIP,0.0
8388,,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,,SKIP,0.0
12761,,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,,SKIP,0.0
8292,,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 8\5ทับ18.pdf,,SKIP,0.0
26584,,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,,SKIP,0.0
8509,,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,,SKIP,0.0
14191,,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,,SKIP,0.0
5907,,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,,SKIP,0.0
14460,,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,,SKIP,0.0
25064,,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,,SKIP,0.0
12750,,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,,SKIP,0.0
8104,,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,,SKIP,0.0
13445,,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,,SKIP,0.0
