province,constituency,amphoe,tambon,unit,form_type,eligible_voters,turnout,ballots_allocated,ballots_used,valid_ballots,spoiled_ballots,abstain_ballots,ballots_remaining,val_total_votes_in_table,val_effective_vote_sum,val_valid_ballots,val_vote_diff,กล้าธรรม_votes,กล้าธรรม_votes_th,ภูมิใจไทย_votes,ภูมิใจไทย_votes_th,เพื่อไทย_votes,เพื่อไทย_votes_th,ประชาชน_votes,ประชาชน_votes_th,ไทรวมพลัง_votes,ไทรวมพลัง_votes_th,ประชาธิปไตยใหม่_votes,ประชาธิปไตยใหม่_votes_th,พลังประชารัฐ_votes,พลังประชารัฐ_votes_th,ประชาธิปัตย์_votes,ประชาธิปัตย์_votes_th,เศรษฐกิจ_votes,เศรษฐกิจ_votes_th,ไทยก้าวใหม่_votes,ไทยก้าวใหม่_votes_th
อุบลราชธานี,2,ตำบลเขื่องใน,เขตตำบลเขื่องใน,9,constituency,136,,120,104,104,,,16,96,96,104,-8,54,54,0,0,0,0,7,7,34,34,0,0,0,0,1,1,0,0,0,0
อุบลราชธานี,2,ตำบลเขื่องใน,เขตเทศบาล และนอกเขต,0,constituency,581,479,580,479,479,10,3,166,406,406,479,-73,217,217,0,0,0,0,9,9,179,0,0,0,0,0,1,1,0,0,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,constituency,536,283,520,283,263,16,4,237,253,253,263,-10,115,0,2,2,3,3,24,0,105,0,0,0,0,0,1,1,3,3,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,constituency,373,130,340,130,129,1,2,210,127,127,129,-2,73,73,0,0,7,7,11,0,32,32,0,0,0,0,4,4,0,0,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,11,constituency,302,183,300,183,183,0,2,117,181,181,183,-2,101,0,0,0,3,3,10,10,65,65,0,0,0,0,2,2,0,0,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,2,constituency,278,,260,159,155,2,2,101,155,155,155,0,68,68,0,0,4,4,12,12,66,66,0,0,0,0,0,0,4,4,1,1
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,4,constituency,447,183,440,183,179,3,1,257,179,179,179,0,95,0,0,0,3,0,13,0,62,0,2,0,0,0,3,0,1,0,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,5,constituency,75,70,360,225,199,12,5,140,214,214,199,15,124,0,3,3,4,4,14,14,69,69,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,6,constituency,306,196,300,196,188,2,6,104,188,188,188,0,105,0,5,5,5,5,18,18,53,53,0,0,0,0,0,0,2,2,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,8,constituency,529,216,520,216,206,6,4,304,206,206,206,0,103,0,2,2,5,5,17,17,74,74,0,0,1,1,1,1,3,3,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,9,constituency,250,253,250,253,253,9,1,167,249,249,253,-4,80,80,2,2,5,5,24,44,128,0,0,0,1,1,2,2,7,5,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลก่อเอ้,1,constituency,530,374,520,374,356,3,15,146,356,356,356,0,124,0,6,6,10,10,30,30,182,0,0,0,0,0,1,1,3,3,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลก่อเอ้,12,constituency,537,429,520,429,399,12,18,91,399,399,399,0,137,0,5,5,2,2,16,16,233,233,0,0,0,0,2,2,4,4,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลก่อเอ้,2,constituency,293,204,280,204,197,3,4,76,197,197,197,0,53,53,1,1,7,7,24,24,107,0,0,0,0,0,2,2,3,3,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลก่อเอ้,3,constituency,383,232,380,232,215,9,8,151,214,214,215,-1,79,79,2,2,8,8,14,14,105,0,1,1,0,0,2,2,3,3,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลก่อเอ้,4,constituency,602,964,600,364,349,10,5,206,319,319,349,-30,163,0,7,7,3,3,35,35,105,0,3,3,0,0,0,0,3,3,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,10,constituency,702,389,400,389,373,9,7,311,373,373,373,0,83,83,6,6,14,14,24,24,243,243,1,1,0,0,0,0,2,2,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,2,constituency,560,397,560,397,383,8,0,169,383,383,383,0,184,0,1,1,1,1,8,8,185,0,1,1,1,1,1,1,1,1,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,3,constituency,581,362,580,362,350,4,8,218,350,350,350,0,186,0,0,0,0,0,15,15,146,0,1,1,0,0,0,0,2,2,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,4,constituency,560,340,560,340,308,24,8,220,244,244,308,-64,0,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,5,constituency,913,216,300,216,210,0,6,84,210,210,210,0,152,0,0,0,0,0,8,8,47,47,0,0,0,0,0,0,3,3,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,6,constituency,482,321,480,321,314,3,4,159,314,314,314,0,215,215,3,3,4,4,10,10,79,79,0,0,0,0,1,1,2,2,0,0
