province,province_number,district,subdistrict,station_number,บช_ก้าวไกล,บช_ชาติพัฒนากล้า,บช_ชาติไทยพัฒนา,บช_บัตรเสีย,บช_ประชาชาติ,บช_ประชาธิปัตย์,บช_ผู้มาใช้สิทธิ์,บช_ผู้มีสิทธิ์,บช_พลังประชารัฐ,บช_ภูมิใจไทย,บช_รวมไทยสร้างชาติ,บช_เพื่อไทย,บช_เสรีรวมไทย,บช_ไทยสร้างไทย,บช_ไม่เลือกผู้ใด
อุบลราชธานี,2,เขื่องใน,ธาตุน้อย,2.0,59,0,0,21,0,57,321,520,3,0,13,105,2,0,1
อุบลราชธานี,2,เขื่องใน,ธาตุน้อย,3.0,56,0,1,40,1,38,482,754,3,1,10,238,3,1,4
อุบลราชธานี,2,เขื่องใน,ธาตุน้อย,4.0,39,0,0,7,1,36,188,303,4,1,11,66,0,0,0
อุบลราชธานี,2,เขื่องใน,ธาตุน้อย,5.0,46,1,0,6,2,63,275,402,1,3,28,91,0,1,2
อุบลราชธานี,2,เขื่องใน,ธาตุน้อย,6.0,48,0,0,12,2,29,203,322,2,0,5,72,0,0,3
อุบลราชธานี,2,เขื่องใน,ธาตุน้อย,7.0,53,0,2,15,0,26,215,369,1,5,4,91,0,0,1
อุบลราชธานี,2,เขื่องใน,ธาตุน้อย,8.0,108,0,0,29,0,35,404,647,1,7,5,171,0,1,4
อุบลราชธานี,2,เขื่องใน,ธาตุน้อย,9.0,61,2,0,12,1,91,345,533,1,0,48,93,0,1,2
อุบลราชธานี,2,เขื่องใน,นาคำใหญ่,1.0,84,0,0,26,0,52,362,611,2,1,12,144,1,0,4
อุบลราชธานี,2,เขื่องใน,นาคำใหญ่,2.0,48,0,0,14,0,27,211,354,1,3,18,77,2,2,3
อุบลราชธานี,2,เขื่องใน,นาคำใหญ่,3.0,30,0,0,4,0,5,80,118,1,2,7,24,1,0,2
อุบลราชธานี,2,เขื่องใน,นาคำใหญ่,4.0,46,0,0,7,1,16,151,215,5,1,7,59,1,0,0
อุบลราชธานี,2,เขื่องใน,นาคำใหญ่,5.0,42,0,0,6,0,33,172,273,3,1,10,51,0,0,2
อุบลราชธานี,2,เขื่องใน,นาคำใหญ่,6.0,78,0,0,8,0,39,271,447,2,4,19,82,1,0,0
อุบลราชธานี,2,เขื่องใน,นาคำใหญ่,7.0,69,0,0,12,1,59,328,491,1,1,29,121,1,0,0
อุบลราชธานี,2,เขื่องใน,นาคำใหญ่,8.0,81,0,0,10,0,30,310,497,0,2,14,139,0,2,2
อุบลราชธานี,2,เขื่องใน,บ้านกอก,1.0,153,0,0,9,1,67,534,666,3,1,22,245,2,0,0
อุบลราชธานี,2,เขื่องใน,บ้านกอก,2.0,126,0,1,13,1,58,507,652,0,9,25,224,1,0,2
อุบลราชธานี,2,เขื่องใน,บ้านกอก,3.0,54,0,0,0,0,0,174,226,1,2,7,77,25,0,0
อุบลราชธานี,2,เขื่องใน,บ้านกอก,4.0,101,0,0,19,1,53,418,664,1,8,15,178,1,2,9
อุบลราชธานี,2,เขื่องใน,บ้านกอก,5.0,123,0,1,15,0,31,370,536,0,7,20,132,4,1,7
อุบลราชธานี,2,เขื่องใน,บ้านกอก,6.0,88,0,1,10,0,19,293,464,2,4,16,129,1,4,2
อุบลราชธานี,2,เขื่องใน,บ้านไทย,1.0,45,0,0,8,0,21,158,257,0,1,4,55,1,1,2
อุบลราชธานี,2,เขื่องใน,บ้านไทย,10.0,43,0,0,9,0,36,212,295,3,2,15,82,1,2,1
อุบลราชธานี,2,เขื่องใน,บ้านไทย,11.0,37,0,1,5,2,33,213,357,4,1,8,83,2,1,2
อุบลราชธานี,2,เขื่องใน,บ้านไทย,12.0,35,1,0,11,0,19,195,347,1,0,7,97,1,0,0
อุบลราชธานี,2,เขื่องใน,บ้านไทย,2.0,69,0,0,0,1,31,228,343,1,3,12,88,1,1,7
อุบลราชธานี,2,เขื่องใน,บ้านไทย,3.0,92,0,1,8,0,114,385,547,2,2,35,98,2,3,2
อุบลราชธานี,2,เขื่องใน,บ้านไทย,4.0,90,0,0,6,2,86,377,554,1,7,22,112,4,2,4
อุบลราชธานี,2,เขื่องใน,บ้านไทย,5.0,39,0,0,12,1,31,180,276,0,0,5,67,1,2,0
อุบลราชธานี,2,เขื่องใน,บ้านไทย,6.0,35,1,0,13,1,35,214,376,2,3,4,89,1,1,0
อุบลราชธานี,2,เขื่องใน,บ้านไทย,7.0,71,0,0,8,0,37,330,539,2,5,11,146,5,2,6
อุบลราชธานี,2,เขื่องใน,บ้านไทย,8.0,97,0,1,18,0,71,359,531,4,0,27,88,0,1,3
อุบลราชธานี,2,เขื่องใน,บ้านไทย,9.0,113,0,0,25,1,67,498,765,0,4,43,156,0,2,11
อุบลราชธานี,2,เขื่องใน,ยางขี้นก,1.0,50,0,0,9,1,24,261,358,1,1,15,142,3,0,1
อุบลราชธานี,2,เขื่องใน,ยางขี้นก,10.0,0,0,0,3,0,48,205,291,2,0,22,71,1,0,2
อุบลราชธานี,2,เขื่องใน,ยางขี้นก,2.0,46,0,0,5,0,43,177,248,2,3,10,54,3,0,0
อุบลราชธานี,2,เขื่องใน,ยางขี้นก,3.0,106,0,0,11,0,59,430,624,1,2,11,189,6,0,4
อุบลราชธานี,2,เขื่องใน,ยางขี้นก,4.0,113,0,0,23,0,31,402,573,2,2,5,171,0,1,11
อุบลราชธานี,2,เขื่องใน,ยางขี้นก,5.0,67,0,0,9,0,14,252,367,2,4,6,110,0,0,5
อุบลราชธานี,2,เขื่องใน,ยางขี้นก,6.0,88,0,0,7,0,85,351,455,0,5,8,123,3,1,1
อุบลราชธานี,2,เขื่องใน,ยางขี้นก,7.0,69,0,0,11,0,66,250,342,2,5,19,34,2,0,5
อุบลราชธานี,2,เขื่องใน,ยางขี้นก,8.0,70,0,0,13,0,45,298,426,3,4,19,101,5,0,7
อุบลราชธานี,2,เขื่องใน,ยางขี้นก,9.0,46,0,0,11,2,42,178,247,3,2,9,40,2,0,1
อุบลราชธานี,2,เขื่องใน,ศรีสุข,1.0,62,0,0,14,0,44,311,504,3,4,15,119,0,2,1
อุบลราชธานี,2,เขื่องใน,ศรีสุข,2.0,66,1,0,10,0,62,326,538,3,1,20,128,0,0,3
อุบลราชธานี,2,เขื่องใน,ศรีสุข,3.0,65,1,0,13,2,65,378,577,3,5,20,154,4,2,3
อุบลราชธานี,2,เขื่องใน,ศรีสุข,4.0,77,0,0,19,0,94,418,632,2,1,19,155,2,3,5
อุบลราชธานี,2,เขื่องใน,ศรีสุข,5.0,45,0,0,7,0,51,230,350,2,3,12,87,0,0,0
อุบลราชธานี,2,เขื่องใน,ศรีสุข,6.0,78,0,0,27,1,50,383,672,1,2,14,142,1,3,3
อุบลราชธานี,2,เขื่องใน,ศรีสุข,7.0,63,0,0,12,1,52,282,500,3,0,10,93,2,1,3
อุบลราชธานี,2,เขื่องใน,ศรีสุข,8.0,105,0,0,18,0,47,417,640,3,6,25,177,1,0,2
อุบลราชธานี,2,เขื่องใน,สร้างถ่อ,1.0,75,0,0,14,1,76,296,428,2,1,22,69,1,1,3
อุบลราชธานี,2,เขื่องใน,สร้างถ่อ,10.0,28,0,0,5,0,26,179,257,3,1,6,85,0,0,0
อุบลราชธานี,2,เขื่องใน,สร้างถ่อ,11.0,60,1,0,7,1,22,277,385,4,3,17,115,0,1,4
อุบลราชธานี,2,เขื่องใน,สร้างถ่อ,12.0,76,0,0,16,1,57,375,563,3,0,22,154,3,2,0
อุบลราชธานี,2,เขื่องใน,สร้างถ่อ,13.0,70,0,0,17,0,48,381,651,3,4,44,147,3,2,3
อุบลราชธานี,2,เขื่องใน,สร้างถ่อ,14.0,74,0,0,8,0,56,352,538,1,4,22,141,2,0,0
อุบลราชธานี,2,เขื่องใน,สร้างถ่อ,15.0,79,0,1,14,0,63,301,455,2,4,23,67,3,0,1
