province,province_number,district,subdistrict,station_number,เขต_กรีน,เขต_ก้าวไกล,เขต_ครูไทยเพื่อประชาช,เขต_คลองไทย,เขต_ความหวังใหม่,เขต_ชาติพัฒนากล้า,เขต_ชาติรุ่งเรือง,เขต_ชาติไทยพัฒนา,เขต_ช่วยชาติ,เขต_ถิ่นกาขาวชาววิไล,เขต_ทางเลือกใหม่,เขต_ท้องที่ไทย,เขต_บัตรเสีย,เขต_ประชากรไทย,เขต_ประชาชาติ,เขต_ประชาธิปัตย์,เขต_ประชาธิปไตยใหม่,เขต_ประชาภิวัฒน์,เขต_ประชาสามัคคี,เขต_ประชาไทย,เขต_ผู้มาใช้สิทธิ์,เขต_ผู้มีสิทธิ์,เขต_พลัง,เขต_พลังธรรมใหม่,เขต_พลังบูรพา,เขต_พลังประชาธิปไตย,เขต_พลังประชารัฐ,เขต_พลังปวงชนไทย,เขต_พลังสยาม,เขต_พลังสหกรณ์,เขต_พลังสังคม,เขต_พลังสังคมใหม่,เขต_พลังเพื่อไทย,เขต_พลังไทยรักชาติ,เขต_ภราดรภาพ,เขต_ภาคีเครือข่ายไทย,เขต_ภูมิใจไทย,เขต_มิติใหม่,เขต_รวมพลัง,เขต_รวมแผ่นดิน,เขต_รวมใจไทย,เขต_รวมไทยสร้างชาติ,เขต_รักษ์ธรรม,เขต_รักษ์ผืนป่าประเทศ,เขต_ราษฎร์วิถี,เขต_สังคมประชาธิปไตยไ,เขต_สามัญชน,เขต_อนาคตไทย,เขต_เปลี่ยน,เขต_เปลี่ยนอนาคต,เขต_เป็นธรรม,เขต_เพื่อชาติ,เขต_เพื่อชาติไทย,เขต_เพื่ออนาคตไทย,เขต_เพื่อไทย,เขต_เพื่อไทรวมพลัง,เขต_เสมอภาค,เขต_เสรีรวมไทย,เขต_เส้นด้าย,เขต_แนวทางใหม่,เขต_แผ่นดินธรรม,เขต_แรงงานสร้างชาติ,เขต_ใหม่,เขต_ไทยก้าวหน้า,เขต_ไทยชนะ,เขต_ไทยธรรม,เขต_ไทยพร้อม,เขต_ไทยภักดี,เขต_ไทยรวมไทย,เขต_ไทยศรีวิไลย์,เขต_ไทยสมาร์ท,เขต_ไทยสร้างไทย,เขต_ไทยเป็นหนึ่ง,เขต_ไม่เลือกผู้ใด
อุบลราชธานี,2,เขื่องใน,ค้อทอง,11.0,,14.0,,0.0,,,,,,,,,10,,,76,,,,,213,324,,,,,8,1.0,,,,,,,,,0.0,,,,,0,,,,,,,,,,,,,101,,,0,,,,,,,,,,0.0,,2.0,,,,1
อุบลราชธานี,2,เขื่องใน,ค้อทอง,2.0,,17.0,,1.0,,,,,,,,,12,,,229,,,,,392,562,,,,,2,0.0,,,,,,,,,0.0,,,,,0,,,,,,,,,,,,,123,,,1,,,,,,,,,,2.0,,1.0,,,,4
อุบลราชธานี,2,เขื่องใน,ค้อทอง,3.0,,18.0,,1.0,,,,,,,,,15,,,226,,,,,380,587,,,,,3,0.0,,,,,,,,,0.0,,,,,0,,,,,,,,,,,,,99,,,4,,,,,,,,,,0.0,,0.0,,,,14
อุบลราชธานี,2,เขื่องใน,ค้อทอง,4.0,,25.0,,0.0,,,,,,,,,28,,,202,,,,,359,567,,,,,6,0.0,,,,,,,,,0.0,,,,,0,,,,,,,,,,,,,92,,,1,,,,,,,,,,1.0,,0.0,,,,4
อุบลราชธานี,2,เขื่องใน,ค้อทอง,5.0,,17.0,,0.0,,,,,,,,,4,,,171,,,,,231,308,,,,,1,0.0,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,35,,,0,,,,,,,,,,0.0,,0.0,,,,2
อุบลราชธานี,2,เขื่องใน,ค้อทอง,6.0,,19.0,,0.0,,,,,,,,,27,,,191,,,,,317,480,,,,,1,1.0,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,77,,,0,,,,,,,,,,0.0,,0.0,,,,0
อุบลราชธานี,2,เขื่องใน,ค้อทอง,7.0,,11.0,,2.0,,,,,,,,,9,,,34,,,,,167,293,,,,,5,1.0,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,100,,,0,,,,,,,,,,0.0,,1.0,,,,3
อุบลราชธานี,2,เขื่องใน,ค้อทอง,8.0,,17.0,,1.0,,,,,,,,,11,,,123,,,,,226,362,,,,,3,0.0,,,,,,,,,2.0,,,,,0,,,,,,,,,,,,,68,,,1,,,,,,,,,,0.0,,0.0,,,,0
อุบลราชธานี,2,เขื่องใน,ค้อทอง,9.0,,28.0,,0.0,,,,,,,,,15,,,154,,,,,312,484,,,,,2,0.0,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,105,,,0,,,,,,,,,,2.0,,1.0,,,,4
อุบลราชธานี,2,เขื่องใน,ชีทวน,1.0,,23.0,,0.0,,,,,,,,,15,,,111,,,,,229,370,,,,,10,0.0,,,,,,,,,3.0,,,,,0,,,,,,,,,,,,,60,,,0,,,,,,,,,,0.0,,0.0,,,,7
